Date;Adj Close;;;;;;;;RAT
01/12/2014;4388,3;;;;;;;;
24/11/2014;4390,18;;;;;;;;0,000428412
17/11/2014;4347,23;;;;;;;;-0,009783198
10/11/2014;4202,46;;;;;;;;-0,033301666
03/11/2014;4189,89;;;;;;;;-0,002991105
27/10/2014;4233,09;;;;;;;;0,010310533
20/10/2014;4128,9;;;;;;;;-0,024613226
13/10/2014;4033,18;;;;;;;;-0,02318293
06/10/2014;4073,71;;;;;;;;0,010049142
29/09/2014;4281,74;;;;;;;;0,051066473
22/09/2014;4394,75;;;;;;;;0,026393476
15/09/2014;4461,22;;;;;;;;0,015124865
08/09/2014;4441,7;;;;;;;;-0,004375485
01/09/2014;4486,49;;;;;;;;0,010083977
25/08/2014;4381,04;;;;;;;;-0,023503897
18/08/2014;4252,8;;;;;;;;-0,029271588
11/08/2014;4174,36;;;;;;;;-0,018444319
04/08/2014;4147,81;;;;;;;;-0,006360256
28/07/2014;4202,78;;;;;;;;0,013252777
21/07/2014;4330,55;;;;;;;;0,030401306
14/07/2014;4335,31;;;;;;;;0,001099168
07/07/2014;4316,5;;;;;;;;-0,00433879
30/06/2014;4468,98;;;;;;;;0,035324916
23/06/2014;4436,99;;;;;;;;-0,007158233
16/06/2014;4541,34;;;;;;;;0,023518196
09/06/2014;4543,28;;;;;;;;0,000427187
02/06/2014;4581,12;;;;;;;;0,008328784
26/05/2014;4519,57;;;;;;;;-0,013435579
19/05/2014;4493,15;;;;;;;;-0,005845689
12/05/2014;4456,28;;;;;;;;-0,008205824
05/05/2014;4477,28;;;;;;;;0,004712451
28/04/2014;4458,17;;;;;;;;-0,004268216
21/04/2014;4443,63;;;;;;;;-0,003261428
14/04/2014;4431,81;;;;;;;;-0,002659987
07/04/2014;4365,86;;;;;;;;-0,014881053
31/03/2014;4484,55;;;;;;;;0,027185938
24/03/2014;4411,26;;;;;;;;-0,016342777
17/03/2014;4335,28;;;;;;;;-0,017224104
10/03/2014;4216,37;;;;;;;;-0,027428448
03/03/2014;4366,42;;;;;;;;0,035587484
24/02/2014;4408,08;;;;;;;;0,009540997
17/02/2014;4381,06;;;;;;;;-0,006129653
10/02/2014;4340,14;;;;;;;;-0,009340205
03/02/2014;4228,18;;;;;;;;-0,025796403
27/01/2014;4165,72;;;;;;;;-0,014772313
20/01/2014;4161,47;;;;;;;;-0,001020232
13/01/2014;4327,5;;;;;;;;0,039896959
06/01/2014;4250,6;;;;;;;;-0,017770075
30/12/2013;4247,65;;;;;;;;-0,00069402
23/12/2013;4277,65;;;;;;;;0,007062729
16/12/2013;4193,77;;;;;;;;-0,019608897
09/12/2013;4059,71;;;;;;;;-0,031966465
02/12/2013;4129,37;;;;;;;;0,017158861
25/11/2013;4295,21;;;;;;;;0,04016109
18/11/2013;4278,53;;;;;;;;-0,003883396
11/11/2013;4292,23;;;;;;;;0,003202034
04/11/2013;4260,44;;;;;;;;-0,007406406
28/10/2013;4273,19;;;;;;;;0,002992649
21/10/2013;4272,31;;;;;;;;-0,000205935
14/10/2013;4286,03;;;;;;;;0,003211377
07/10/2013;4219,98;;;;;;;;-0,015410531
30/09/2013;4164,25;;;;;;;;-0,013206224
23/09/2013;4186,77;;;;;;;;0,005407937
16/09/2013;4203,66;;;;;;;;0,004034136
09/09/2013;4114,5;;;;;;;;-0,021210088
02/09/2013;4049,19;;;;;;;;-0,015873132
26/08/2013;3933,78;;;;;;;;-0,028501997
19/08/2013;4069,47;;;;;;;;0,034493541
12/08/2013;4123,89;;;;;;;;0,013372749
05/08/2013;4076,55;;;;;;;;-0,011479453
29/07/2013;4045,65;;;;;;;;-0,007579939
22/07/2013;3968,84;;;;;;;;-0,018985824
15/07/2013;3925,32;;;;;;;;-0,010965421
08/07/2013;3855,09;;;;;;;;-0,017891535
01/07/2013;3753,85;;;;;;;;-0,026261384
24/06/2013;3738,91;;;;;;;;-0,003979914
17/06/2013;3658,04;;;;;;;;-0,021629298
10/06/2013;3805,16;;;;;;;;0,040218259
03/06/2013;3872,59;;;;;;;;0,017720674
27/05/2013;3948,59;;;;;;;;0,019625109
20/05/2013;3956,79;;;;;;;;0,002076691
13/05/2013;4001,27;;;;;;;;0,011241436
06/05/2013;3953,83;;;;;;;;-0,011856236
29/04/2013;3912,95;;;;;;;;-0,010339342
22/04/2013;3810,05;;;;;;;;-0,026297295
15/04/2013;3651,96;;;;;;;;-0,041492894
08/04/2013;3729,3;;;;;;;;0,021177669
01/04/2013;3663,48;;;;;;;;-0,017649425
25/03/2013;3731,42;;;;;;;;0,018545208
18/03/2013;3770,29;;;;;;;;0,010416946
11/03/2013;3844,03;;;;;;;;0,019558177
04/03/2013;3840,15;;;;;;;;-0,001009357
25/02/2013;3699,91;;;;;;;;-0,036519407
18/02/2013;3706,28;;;;;;;;0,001721663
11/02/2013;3660,37;;;;;;;;-0,012387084
04/02/2013;3649,5;;;;;;;;-0,002969645
28/01/2013;3773,53;;;;;;;;0,033985477
21/01/2013;3778,16;;;;;;;;0,001226968
14/01/2013;3741,58;;;;;;;;-0,009681962
07/01/2013;3706,02;;;;;;;;-0,009504006
31/12/2012;3730,02;;;;;;;;0,00647595
24/12/2012;3620,25;;;;;;;;-0,029428797
17/12/2012;3661,4;;;;;;;;0,011366618
10/12/2012;3643,28;;;;;;;;-0,004948927
03/12/2012;3605,61;;;;;;;;-0,010339584
26/11/2012;3557,28;;;;;;;;-0,013404112
19/11/2012;3528,8;;;;;;;;-0,008006117
12/11/2012;3341,52;;;;;;;;-0,053071866
05/11/2012;3423,57;;;;;;;;0,024554694
29/10/2012;3492,46;;;;;;;;0,02012227
22/10/2012;3435,09;;;;;;;;-0,016426817
15/10/2012;3504,56;;;;;;;;0,020223633
08/10/2012;3389,08;;;;;;;;-0,032951355
01/10/2012;3457,04;;;;;;;;0,02005264
24/09/2012;3354,82;;;;;;;;-0,029568648
17/09/2012;3530,72;;;;;;;;0,052432023
10/09/2012;3581,58;;;;;;;;0,014404994
03/09/2012;3519,05;;;;;;;;-0,017458775
27/08/2012;3413,07;;;;;;;;-0,030116082
20/08/2012;3433,21;;;;;;;;0,005900846
13/08/2012;3488,38;;;;;;;;0,016069509
06/08/2012;3435,62;;;;;;;;-0,015124499
30/07/2012;3374,19;;;;;;;;-0,017880324
23/07/2012;3280,19;;;;;;;;-0,027858538
16/07/2012;3193,89;;;;;;;;-0,026309452
09/07/2012;3180,81;;;;;;;;-0,00409532
02/07/2012;3168,79;;;;;;;;-0,003778912
25/06/2012;3196,65;;;;;;;;0,008791999
18/06/2012;3090,9;;;;;;;;-0,033081507
11/06/2012;3087,62;;;;;;;;-0,00106118
04/06/2012;3051,69;;;;;;;;-0,011636795
28/05/2012;2950,47;;;;;;;;-0,033168507
21/05/2012;3047,94;;;;;;;;0,033035415
14/05/2012;3008;;;;;;;;-0,013103932
07/05/2012;3129,77;;;;;;;;0,040482048
30/04/2012;3161,97;;;;;;;;0,010288296
23/04/2012;3266,27;;;;;;;;0,032985765
16/04/2012;3188,58;;;;;;;;-0,023785541
10/04/2012;3189,09;;;;;;;;0,000159946
02/04/2012;3319,81;;;;;;;;0,040989749
26/03/2012;3423,81;;;;;;;;0,031327094
19/03/2012;3476,18;;;;;;;;0,015295825
12/03/2012;3594,83;;;;;;;;0,034132295
05/03/2012;3487,48;;;;;;;;-0,02986233
27/02/2012;3501,17;;;;;;;;0,003925471
20/02/2012;3467,03;;;;;;;;-0,009751026
13/02/2012;3439,62;;;;;;;;-0,007905902
06/02/2012;3373,14;;;;;;;;-0,019327716
30/01/2012;3427,92;;;;;;;;0,016240061
23/01/2012;3318,76;;;;;;;;-0,031844384
16/01/2012;3321,5;;;;;;;;0,00082561
09/01/2012;3196,49;;;;;;;;-0,03763661
02/01/2012;3137,36;;;;;;;;-0,018498415
27/12/2011;3159,81;;;;;;;;0,007155698
19/12/2011;3102,09;;;;;;;;-0,018266921
12/12/2011;2972,3;;;;;;;;-0,041839534
05/12/2011;3172,35;;;;;;;;0,067304781
28/11/2011;3164,95;;;;;;;;-0,002332656
21/11/2011;2856,97;;;;;;;;-0,097309594
14/11/2011;2997,01;;;;;;;;0,049016966
07/11/2011;3149,38;;;;;;;;0,050840671
31/10/2011;3123,55;;;;;;;;-0,008201614
24/10/2011;3348,63;;;;;;;;0,072059035
17/10/2011;3171,34;;;;;;;;-0,05294404
10/10/2011;3217,89;;;;;;;;0,014678338
03/10/2011;3095,56;;;;;;;;-0,038015594
26/09/2011;2981,96;;;;;;;;-0,036697722
19/09/2011;2810,11;;;;;;;;-0,057629881
12/09/2011;3031,08;;;;;;;;0,078633932
05/09/2011;2974,59;;;;;;;;-0,018636921
29/08/2011;3148,53;;;;;;;;0,058475286
22/08/2011;3087,64;;;;;;;;-0,019339184
15/08/2011;3016,99;;;;;;;;-0,022881554
08/08/2011;3213,88;;;;;;;;0,065260409
01/08/2011;3278,56;;;;;;;;0,020125207
25/07/2011;3672,77;;;;;;;;0,120238763
18/07/2011;3842,7;;;;;;;;0,046267531
11/07/2011;3726,59;;;;;;;;-0,030215734
04/07/2011;3913,55;;;;;;;;0,05016919
27/06/2011;4007,35;;;;;;;;0,023968009
20/06/2011;3784,8;;;;;;;;-0,055535454
13/06/2011;3823,74;;;;;;;;0,010288523
06/06/2011;3805,09;;;;;;;;-0,004877424
30/05/2011;3890,68;;;;;;;;0,022493555
23/05/2011;3950,98;;;;;;;;0,015498576
16/05/2011;3990,85;;;;;;;;0,010091167
09/05/2011;4018,85;;;;;;;;0,007016049
02/05/2011;4058,01;;;;;;;;0,009744081
26/04/2011;4106,92;;;;;;;;0,012052706
18/04/2011;4021,88;;;;;;;;-0,020706515
11/04/2011;3974,48;;;;;;;;-0,011785533
04/04/2011;4061,91;;;;;;;;0,021997846
28/03/2011;4054,76;;;;;;;;-0,001760256
21/03/2011;3972,38;;;;;;;;-0,020316862
14/03/2011;3810,22;;;;;;;;-0,040821875
07/03/2011;3928,68;;;;;;;;0,031090068
28/02/2011;4020,21;;;;;;;;0,023297902
21/02/2011;4070,38;;;;;;;;0,012479448
14/02/2011;4157,14;;;;;;;;0,021314963
07/02/2011;4101,31;;;;;;;;-0,013429906
31/01/2011;4047,21;;;;;;;;-0,013190907
24/01/2011;4002,32;;;;;;;;-0,011091591
17/01/2011;4017,45;;;;;;;;0,003780307
